course_id,title,level,length,timeslot,group,description,exam_type,pass_pct,median,mean
NDAA09023U - SCIENCE,Advanced Algorithms and Data Structures (AADS),Master,ECTS: 7.5,Block(s): 2,Group(s): C,"Algorithms is about finding scalable solutions to computational problems, and the reliance is only increasing as we enter the world of Big Data. We want algorithms that solve problems efficiently rela...",ITX (4h),Pass 75%,Median 4,Average 4.95
NPLK13004U - SCIENCE,Advanced Analytical Chemistry - Chromatography and Mass Spectrometry,Master,ECTS: 7.5,Block(s): 2,Group(s): A,"Today, chromatography and mass spectometry are by far the most common used analytical techniques for separation and detection of molecules. A thorough understanding of the chromatographic theory, and ...",Oral (20m),Pass 95.24%,Median 7,Average 6.86
NPLK13003U - SCIENCE,Advanced Analytical Chemistry - Sampling and Sample Preparation,Master,ECTS: 7.5,Block(s): 1,Group(s): A,"Sampling and sample preparation is a cornerstone in performing sound experiments, and thus essential to any kind of analytical chemistry project: the results obtained will never be better than the sam...","Assignment (2d)
Oral (30m)",Pass 100%,Median 7,Average 7.44
NBIK15005U - SCIENCE,Advanced Bacteriology 2,Master,ECTS: 7.5,Block(s): 2,Group(s): B,Theme 1: Bacterial physiologyBacterial metabolic diversity and adaptations to life as single-celled organismsTheme 2: Bacterial interactionsBacterial interactions with plantsBacterial interactions wit...,Oral (20m),Pass 100%,Median 12,Average 10.5
NBIK15003U - SCIENCE,Advanced Bacteriology1,Master,ECTS: 7.5,Block(s): 1,Group(s): A,"Theme 1: Social bacterial interactionsBacterial interactions, Quorum sensing, Socio-microbiologyTheme 2:  Microbial biofilm and evolutionBiofilms, Evolution of bacteriaTheme 3: Bacterial mobile geneti...",Oral (25m),Pass 97.22%,Median 10,Average 9.86
NBIK20004U - SCIENCE,Advanced Bioinformatics for Next-Generation Sequencing,Master,ECTS: 7.5,Block(s): 1,Group(s): C,The course covers advanced topics in Bioinformatics for analysis of data next-generation sequencing (NGS). The course is based mostly on scientific papers and texts. The topics include:Mapping algorit...,Continuous Assesment,Pass 86.67%,Median 10,Average 8.69
NBIK15006U - SCIENCE,Advanced Cell Biology,Master,ECTS: 7.5,Block(s): 1,Group(s): A,"The course covers cutting-edge theoretical and experimental knowledge of cell biology with special emphasis on cellular structures, organization and function of organelles, physiological properties of...",ITX (4h),Pass 94.44%,Median 7,Average 6.81
NFOK21000U - SCIENCE,Advanced Chemometrics and Machine Learning,Master,ECTS: 7.5,Block(s): 3,Group(s): C,Basic chemometric methods like PCA and PLS are useful tools in data analysis but in many data analytical problems more advanced machine learning methods are necessary to solve the problems. The metho...,Oral (20m),Pass 80.95%,Median 10,Average 8.33
NDAK15006U - SCIENCE,Advanced Computer Systems (ACS),Master,ECTS: 7.5,Block(s): 2,Group(s): A,"The overall purpose of this course is to offer students an understanding of techniques in computer systems with a focus on correctness and adherence to system properties, such as modularity and atomic...",ITX (4h),Pass 87.12%,Median 4,Average 5.27
NPLK16001U - SCIENCE,Advanced Crop Production,Master,ECTS: 7.5,Block(s): 1,Group(s): A,"Overall theme: Improving crop productionThe course deal with modern developed cropping systems, mainly in temperate areas of the world. The outset will be the need for sustainable intensification and ...","Assignment
Oral (25m)",Pass 100%,Median 7,Average 7.24
NIFK16005U - SCIENCE,Advanced Development Economics,Master,ECTS: 7.5,Block(s): 2,Group(s): A,"This course will cover the microeconomics of development and will focus on approaches to understanding the behavior of households and firms, and the functioning of markets and institutions in developi...","Assignment
Oral (20m)",Pass 95.45%,Median 10,Average 8.91
NFKA09006U - SCIENCE,Advanced Didactics of Mathematics (DidMatV),Master,ECTS: 7.5,Block(s): 2,Group(s): C,The Didactics of Mathematics is an applied science at the borderline between applied mathematics and social science. It produces knowledge of direct relevance to the profession of mathematics teaching...,Assignment,Pass 100%,Median 7,Average 7
NBIK15007U - SCIENCE,Advanced Ecology,Master,ECTS: 7.5,Block(s): 1,Group(s): C,"A high-level introduction to ecological processes, including trophic interactions and within- and between-species as well as biogeochemical cycling. ","Assignment (9d)
ITX (3h)",Pass 96.55%,Median 10,Average 8.79
NKEK22000U - SCIENCE,Advanced Fluorescence Spectroscopy and Microscopy,Master,ECTS: 7.5,Block(s): 4,Group(s): A,"The course focus on the theoretical background for and applications of fluorescence spectroscopy and microscopy. The course deals with photophysical properties of molecular systems, in particular rela...",Oral (25m),Pass 84.21%,Median 10,Average 8.82
NFOK14018U - SCIENCE,Advanced Food Chemistry,Master,ECTS: 7.5,Block(s): 2,Group(s): B,The course focuses on the fundamental chemical reactions that affect quality and stability of foods during their processing and storage. The molecular mechanisms of important reactions in foods and be...,Oral (20m),Pass 100%,Median 8.5,Average 8
NIGK15001U - SCIENCE,Advanced Geoinformatics,Master,ECTS: 7.5,Block(s): 2,Group(s): B,This course constitutes the introduction to the MSc specialization in Geoinformatics (in combination with its counterpart in Remote Sensing).  The course's primary aim is to position its participants ...,"Assignment
Oral (20m)",Pass 100%,Median 10,Average 9.04
NKEB13013U - SCIENCE,Advanced Inorganic Chemistry (KemiVU),Bachelor,ECTS: 7.5,Block(s): 3,Group(s): B,"Descriptive chemistry, primarily of the transition metals: Bonding and structure, reaction mechanisms and equilibrium. Simple models for electronic spectra and magnetic properties of coordination comp...",Oral (30m),Pass 92.31%,Median 10,Average 7.62
NIFK14023U - SCIENCE,Advanced International Trade,Master,ECTS: 7.5,Block(s): 1,Group(s): C,"This course primarily covers the following topics. First, models seeking to explain the causes, patterns and consequences of international trade are presented. These include the Ricardian model, the H...",ITX (3h),Pass 100%,Median 7,Average 7.13
NMAK15003U - SCIENCE,Advanced Mathematical Physics (AdvMathPhys),Master,ECTS: 7.5,Block(s): 4,Group(s): C,Selected topics in Quantum Mechanics and Statistical Mechanics. Besides fundamental issues the course will focus on more specialized topics depending on the interests and preferences of the participan...,Continuous Assesment,Pass 100%,Median N/A,Average N/A
NFYK15002U - SCIENCE,Advanced Methods in Applied Statistics,Master,ECTS: 7.5,Block(s): 3,Group(s): A,"The course will offer the practical knowledge and hands-on experience in computational analysis of data in frontier physics research, with particular relevance for particle physics, astrophysics, and ...","Continuous Assesment
Assignment (28h)",Pass 96.77%,Median 7,Average 8.1
NPLK17001U - SCIENCE,Advanced Microbial Biotechnology,Master,ECTS: 7.5,Block(s): 1,Group(s): A,"The aim of the course is to give the students a fundamental, theoretical background in microbial biotechnology, which can be defined as ""any technological application that uses microbiological communi...",Oral (30m),Pass 100%,Median 8.5,Average 8.09
NMAK23000U - SCIENCE,Advanced Number Theory,Master,ECTS: 7.5,Block(s): 1,Group(s): B,"The goal of this course is to discuss some contemporary topics in number theory, such as automorphic forms and representations and their L-functions which constitute a very active area of research in ...",Oral (30m),Pass 100%,Median 10,Average 8.14
NNEK23001U - SCIENCE,Advanced Nutrition Physiology and Metabolism,Master,ECTS: 7.5,Block(s): 1,Group(s): B,"The course will focus on micro- and macronutrients, including definitions, classifications, chemical structure, physical and chemical characteristics, and physiological and metabolic functions. This w...",ITX (2h),Pass 84.29%,Median 7,Average 5.68
NMAK15004U - SCIENCE,Advanced Operations Research: Stochastic Programming,Master,ECTS: 7.5,Block(s): 1,Group(s): A,"In countless real-life situations, decision makers are required to make decisions under uncertainty, that is while relevant information is uncertain, noisy, imprecise. Examples are investments in asse...",Oral (30m),Pass 90%,Median 7,Average 8.44
NDAA09013U - SCIENCE,Advanced Programming (AP),Master,ECTS: 7.5,Block(s): 1,Group(s): A,The purpose of this course is to provide practical experience with sophisticated programming techniques and paradigms from a language-based perspective. The focus is on high-level programming and syst...,Assignment (7d),Pass 82.74%,Median 7,Average 6
