course_id,title,level,length,timeslot,group,description,exam_type,pass_pct,median,mean,fail_pct
NDAA09023U - SCIENCE,Advanced Algorithms and Data Structures (AADS),Master, 7.5,2, C,"Algorithms is about finding scalable solutions to computational problems, and the reliance is only increasing as we enter the world of Big Data. We want algorithms that solve problems efficiently rela...",ITX (4h),Pass 75%, 4, 4.95,25.0
NPLK13004U - SCIENCE,Advanced Analytical Chemistry - Chromatography and Mass Spectrometry,Master, 7.5,2, A,"Today, chromatography and mass spectometry are by far the most common used analytical techniques for separation and detection of molecules. A thorough understanding of the chromatographic theory, and ...",Oral (20m),Pass 95.24%, 7, 6.86,4.760000000000005
NPLK13003U - SCIENCE,Advanced Analytical Chemistry - Sampling and Sample Preparation,Master, 7.5,1, A,"Sampling and sample preparation is a cornerstone in performing sound experiments, and thus essential to any kind of analytical chemistry project: the results obtained will never be better than the sam...","Assignment (2d)
Oral (30m)",Pass 100%, 7, 7.44,0.0
NBIK15005U - SCIENCE,Advanced Bacteriology 2,Master, 7.5,2, B,Theme 1: Bacterial physiologyBacterial metabolic diversity and adaptations to life as single-celled organismsTheme 2: Bacterial interactionsBacterial interactions with plantsBacterial interactions wit...,Oral (20m),Pass 100%, 12, 10.5,0.0
NBIK15003U - SCIENCE,Advanced Bacteriology1,Master, 7.5,1, A,"Theme 1: Social bacterial interactionsBacterial interactions, Quorum sensing, Socio-microbiologyTheme 2:  Microbial biofilm and evolutionBiofilms, Evolution of bacteriaTheme 3: Bacterial mobile geneti...",Oral (25m),Pass 97.22%, 10, 9.86,2.780000000000001
NBIK20004U - SCIENCE,Advanced Bioinformatics for Next-Generation Sequencing,Master, 7.5,1, C,The course covers advanced topics in Bioinformatics for analysis of data next-generation sequencing (NGS). The course is based mostly on scientific papers and texts. The topics include:Mapping algorit...,Continuous Assesment,Pass 86.67%, 10, 8.69,13.329999999999998
NBIK15006U - SCIENCE,Advanced Cell Biology,Master, 7.5,1, A,"The course covers cutting-edge theoretical and experimental knowledge of cell biology with special emphasis on cellular structures, organization and function of organelles, physiological properties of...",ITX (4h),Pass 94.44%, 7, 6.81,5.560000000000002
NFOK21000U - SCIENCE,Advanced Chemometrics and Machine Learning,Master, 7.5,3, C,Basic chemometric methods like PCA and PLS are useful tools in data analysis but in many data analytical problems more advanced machine learning methods are necessary to solve the problems. The metho...,Oral (20m),Pass 80.95%, 10, 8.33,19.049999999999997
NDAK15006U - SCIENCE,Advanced Computer Systems (ACS),Master, 7.5,2, A,"The overall purpose of this course is to offer students an understanding of techniques in computer systems with a focus on correctness and adherence to system properties, such as modularity and atomic...",ITX (4h),Pass 87.12%, 4, 5.27,12.879999999999995
NPLK16001U - SCIENCE,Advanced Crop Production,Master, 7.5,1, A,"Overall theme: Improving crop productionThe course deal with modern developed cropping systems, mainly in temperate areas of the world. The outset will be the need for sustainable intensification and ...","Assignment
Oral (25m)",Pass 100%, 7, 7.24,0.0
NIFK16005U - SCIENCE,Advanced Development Economics,Master, 7.5,2, A,"This course will cover the microeconomics of development and will focus on approaches to understanding the behavior of households and firms, and the functioning of markets and institutions in developi...","Assignment
Oral (20m)",Pass 95.45%, 10, 8.91,4.549999999999997
NFKA09006U - SCIENCE,Advanced Didactics of Mathematics (DidMatV),Master, 7.5,2, C,The Didactics of Mathematics is an applied science at the borderline between applied mathematics and social science. It produces knowledge of direct relevance to the profession of mathematics teaching...,Assignment,Pass 100%, 7, 7,0.0
NBIK15007U - SCIENCE,Advanced Ecology,Master, 7.5,1, C,"A high-level introduction to ecological processes, including trophic interactions and within- and between-species as well as biogeochemical cycling. ","Assignment (9d)
ITX (3h)",Pass 96.55%, 10, 8.79,3.450000000000003
NKEK22000U - SCIENCE,Advanced Fluorescence Spectroscopy and Microscopy,Master, 7.5,4, A,"The course focus on the theoretical background for and applications of fluorescence spectroscopy and microscopy. The course deals with photophysical properties of molecular systems, in particular rela...",Oral (25m),Pass 84.21%, 10, 8.82,15.790000000000006
NFOK14018U - SCIENCE,Advanced Food Chemistry,Master, 7.5,2, B,The course focuses on the fundamental chemical reactions that affect quality and stability of foods during their processing and storage. The molecular mechanisms of important reactions in foods and be...,Oral (20m),Pass 100%, 8.5, 8,0.0
NIGK15001U - SCIENCE,Advanced Geoinformatics,Master, 7.5,2, B,This course constitutes the introduction to the MSc specialization in Geoinformatics (in combination with its counterpart in Remote Sensing).  The course's primary aim is to position its participants ...,"Assignment
Oral (20m)",Pass 100%, 10, 9.04,0.0
NKEB13013U - SCIENCE,Advanced Inorganic Chemistry (KemiVU),Bachelor, 7.5,3, B,"Descriptive chemistry, primarily of the transition metals: Bonding and structure, reaction mechanisms and equilibrium. Simple models for electronic spectra and magnetic properties of coordination comp...",Oral (30m),Pass 92.31%, 10, 7.62,7.689999999999998
NIFK14023U - SCIENCE,Advanced International Trade,Master, 7.5,1, C,"This course primarily covers the following topics. First, models seeking to explain the causes, patterns and consequences of international trade are presented. These include the Ricardian model, the H...",ITX (3h),Pass 100%, 7, 7.13,0.0
NMAK15003U - SCIENCE,Advanced Mathematical Physics (AdvMathPhys),Master, 7.5,4, C,Selected topics in Quantum Mechanics and Statistical Mechanics. Besides fundamental issues the course will focus on more specialized topics depending on the interests and preferences of the participan...,Continuous Assesment,Pass 100%, N/A, N/A,0.0
NFYK15002U - SCIENCE,Advanced Methods in Applied Statistics,Master, 7.5,3, A,"The course will offer the practical knowledge and hands-on experience in computational analysis of data in frontier physics research, with particular relevance for particle physics, astrophysics, and ...","Continuous Assesment
Assignment (28h)",Pass 96.77%, 7, 8.1,3.230000000000004
NPLK17001U - SCIENCE,Advanced Microbial Biotechnology,Master, 7.5,1, A,"The aim of the course is to give the students a fundamental, theoretical background in microbial biotechnology, which can be defined as ""any technological application that uses microbiological communi...",Oral (30m),Pass 100%, 8.5, 8.09,0.0
NMAK23000U - SCIENCE,Advanced Number Theory,Master, 7.5,1, B,"The goal of this course is to discuss some contemporary topics in number theory, such as automorphic forms and representations and their L-functions which constitute a very active area of research in ...",Oral (30m),Pass 100%, 10, 8.14,0.0
NNEK23001U - SCIENCE,Advanced Nutrition Physiology and Metabolism,Master, 7.5,1, B,"The course will focus on micro- and macronutrients, including definitions, classifications, chemical structure, physical and chemical characteristics, and physiological and metabolic functions. This w...",ITX (2h),Pass 84.29%, 7, 5.68,15.709999999999994
NMAK15004U - SCIENCE,Advanced Operations Research: Stochastic Programming,Master, 7.5,1, A,"In countless real-life situations, decision makers are required to make decisions under uncertainty, that is while relevant information is uncertain, noisy, imprecise. Examples are investments in asse...",Oral (30m),Pass 90%, 7, 8.44,10.0
NDAA09013U - SCIENCE,Advanced Programming (AP),Master, 7.5,1, A,The purpose of this course is to provide practical experience with sophisticated programming techniques and paradigms from a language-based perspective. The focus is on high-level programming and syst...,Assignment (7d),Pass 82.74%, 7, 6,17.260000000000005
NKEA05037U - SCIENCE,Advanced Quantum Chemistry (KemiVK),Bachelor, 7.5,4, C,General angular momentum theory.Time-independent perturbation theory and variation theory.Born-Oppenheimer approximation and molecular potential energy surfaces.General operator properties and the ant...,Oral (30m),Pass 100%, 12, 10.78,0.0
NFYK15003U - SCIENCE,Advanced Quantum Mechanics (Quant3),Master, 7.5,1, B,The course is a graduate level in quantum mechanics with emphasis on providing the students with tools to understand the advanced courses within the quantum branch of the master program. The introduct...,"Continuous Assesment
Written (4h)",Pass 94.2%, 10, 9.29,5.799999999999997
NFYK18004U - SCIENCE,Advanced Quantum Optics and Photonics,Master, 7.5,4, B,"The course will introduce the students to advanced topics in quantum optics, especially in solid-state nanophotonic systems. It provides a detailed description of the quantum treatment of light-matter...",Oral (25m),Pass 94.44%, 10, 8.83,5.560000000000002
NKEK11003U - SCIENCE,Advanced Synthetic Techniques,Master, 7.5,Summer, A,This is an advanced synthesis course designed to train students at the master's level (and at the PhD level). The course will describe and discuss modern tecniques for the synthesis of advanced organi...,Assignment,Pass 95.65%, N/A, N/A,4.349999999999994
NDAK24003U - SCIENCE,Advanced Topics in Deep Learning (ATDL),Master, 7.5,1, A,"This course will give you detailed insight into advanced deep learning methods and techniques, covering algorithms, theory and tools in this exciting and fast advancing field.This is an advanced topic...",Continuous Assesment,Pass 100%, 10, 8.9,0.0
NDAK15012U - SCIENCE,Advanced Topics in Human-Centred Computing (ATHCC),Master, 7.5,3, C,"The aim of the course is to introduce participants to advanced topics in human-centred computing (HCC). HCC spans human-computer interaction, methods for prototyping and developing, and advanced inter...",Continuous Assesment,Pass 76.6%, 10, 8.83,23.400000000000006
NDAK15013U - SCIENCE,Advanced Topics in Image Analysis (ATIA),Master, 7.5,1, B,The purpose of this course is to expose the student to selected advanced topics in image analysis. The course will bring the student up to a level sufficient for master thesis work within image analys...,Assignment,Pass 83.33%, 7, 6,16.67
NDAK15014U - SCIENCE,Advanced Topics in Machine Learning (ATML),Master, 7.5,1, C,"As machine learning models are often trained on data containing sensitive private information, it is important to provide reasonable privacy protection to the individuals whose data is included. This ...",Continuous Assesment,Pass 91.18%, 10, 8.44,8.819999999999993
NDAK19001U - SCIENCE,Advanced Topics in Natural Language Processing (ATNLP),Master, 7.5,2, A,The purpose of this course is to expose students to selected advanced topics in natural language processing. The course will bring the students up to a level sufficient for writing their master thesis...,Continuous Assesment,Pass 100%, 7, 7.58,0.0
NDAK24007U - SCIENCE,Advanced Topics in Programming Languages (ATPL),Master, 7.5,2, B,"This course provides an introduction to state-of-the-art research within an area of programming languages involving theory, design, reasoning, implementation and/or application of programming language...",Oral (30m),Pass 93.75%, 10, 9.4,6.25
NMAK15005U - SCIENCE,Advanced Vector Spaces (AdVec),Master, 7.5,1, A,"This course covers the fundamentals of linear and multilinear algebra as well as more advanced subjects within the field, from a theoretical point of view with emphasis on proofs.Subjects includeFunda...",Oral (30m),Pass 78.13%, 10, 7.55,21.870000000000005
NKEK22001U - SCIENCE,Advanced Vibrational Spectroscopy,Master, 7.5,3, A,This course will describe aspects of both experimental and theoretical advanced vibrational and rotational spectroscopy. It will consider mainly gas phase spectroscopy but with links to jet expansion ...,Oral (30m),Pass 85.71%, 12, 8.64,14.290000000000006
